name,code,map6tif,map6nifti,svbptif,svbpnifti,atlasnifti,
cortex,CTX,yellow,5,darkgreen,2,3,
hippocampal formation,HPF,darkgreen,3,idk,3,454,
olfactory bulb,OLF/MOB,lightgreen,9,lightgreen,1,379;380,
striatum,STR,darkblue,4,lightblue,4,571,
globus pallidus,GP,pink,6,darkgreenblue,5,610;611,
cerebelum,CB,salmon,8,yellow,9,1014,
coliculi,SC/IC,red,2,pink,8,808;809;810;811;812,
thalamus,TH,lightblue,7,salmon,7,641,
hypothalamus,HY,purple,1,red,6,715,
brainstem,BS,orange,10,none,-1,639,
background,BG,none,0,none,0,0,
